date,time,channel_id,habitat_type,visibility_ft,depth_ft,distance_to_bank_ft,distance_to_cover_ft,cover_type,overhead,unembedded_cobble,distance to cobble_ft,velocity_fps,substrate,fish_type,fish_size,fish_number,comments
2020-03-02,10:04:04am,Anderson River Park,Pool,10,1.4,5.4,1.2,"Branches, Small Woody Debris",No,Yes,2.5,0.2,Sand,Spring Run Chinook,51-60mm,3,NA
2020-03-02,10:09:02am,Anderson River Park,Pool,10,1.4,5.4,1.2,"Branches, Small Woody Debris",No,Yes,2.5,0.2,Sand,Fall Run Chinook,41-50mm,2,NA
2020-03-02,10:10:31am,Anderson River Park,Pool,10,0.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Spring Run Chinook,61-80mm,10,NA
2020-03-02,10:15:02am,Anderson River Park,Pool,10,1.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Fall Run Chinook,41-50mm,8,NA
2020-03-02,10:21:06am,Anderson River Park,Pool,10,0.35,2.7,0,Aquatic Veg,No,Yes,3.3,0,Mud/Organic,Fall Run Chinook,51-60mm,12,NA
2020-03-02,10:24:47am,Anderson River Park,Pool,10,2.1,3.2,0,Cobble,No,Yes,0,0.7,Cobble,Spring Run Chinook,61-80mm,1,NA
2020-03-02,10:28:33am,Anderson River Park,Pool,10,1.75,4.8,0,"Branches, Small Woody Debris",No,Yes,1.1,0.2,Gravel,Spring Run Chinook,61-80mm,60,NA
2020-03-02,10:32:31am,Anderson River Park,Pool,10,1.7,4.8,0,"Branches, Small Woody Debris",No,Yes,1.1,0.2,Gravel,Fall Run Chinook,51-60mm,25,NA
2020-03-02,10:36:12am,Anderson River Park,Pool,10,1.7,4.8,0,"Branches, Small Woody Debris",No,Yes,1.8,0.2,Gravel,Fall Run Chinook,41-50mm,10,NA
2020-03-02,10:41:23am,Anderson River Park,Riffle,10,0.5,2.1,0.5,"Branches, Small Woody Debris",No,Yes,0.5,0.4,Gravel,Fall Run Chinook,51-60mm,10,NA
2020-03-02,10:45:15am,Anderson River Park,Riffle,10,0.65,3.1,0.8,"Branches, Small Woody Debris",Yes,Yes,2,0,Cobble,Spring Run Chinook,61-80mm,15,NA
2020-03-02,10:48:02am,Anderson River Park,Riffle,10,0.65,3.1,0.5,"Branches, Small Woody Debris",Yes,Yes,0.8,0,Cobble,Fall Run Chinook,51-60mm,30,NA
2020-03-02,10:50:07am,Anderson River Park,Riffle,10,0.65,3.1,0.5,"Branches, Small Woody Debris",Yes,Yes,0.8,0,Cobble,Fall Run Chinook,41-50mm,15,NA
2020-03-02,10:51:36am,Anderson River Park,Riffle,10,0.7,2.2,0,Fine Woody Debris,No,Yes,0,0.3,Cobble,Spring Run Chinook,61-80mm,10,NA
